id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
36065,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Frank Lambert,Peru,between Jaen and San Ignacio,,,?,"call, song",,,field recording,//xeno-canto.org/36065,https://xeno-canto.org/36065/download,SPChinchipe_FL 3Jul06 between Jaen_SanIgnacio.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC36065-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC36065-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC36065-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC36065-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC36065-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC36065-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC36065-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,0:55,09:00,2006-07-03,2009-06-23,[],This taxon is more usually called Chinchipe Spinetail,unknown,unknown,unknown,,,no,,,44100
692727,Arremon,dorbignii,,birds,Moss-backed Sparrow,Jacob Wijpkema,Bolivia,"Franz Tamayo, La Paz Department",-14.4185,-68.5468,750,song,,,field recording,//xeno-canto.org/692727,https://xeno-canto.org/692727/download,XC692727-211202_4652_1.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC692727-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC692727-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC692727-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC692727-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/wave/XC692727-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/wave/XC692727-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/wave/XC692727-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:50,07:31,2021-12-02,2021-12-24,"['Taraba major', 'Formicarius analis', 'Nystalus obamai']","In Bolivia this is now called ""Moss-backed Sparrow"" Arremon dorbignii. However it seems that the song of this bird is more like the Saffron-billed Sparrow, Arremon flavirostris polionotus.",yes,yes,no,,,no,,,44100
296852,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Ross Gallardy,Peru,"San Ignacio, Cajamarca",-5.4981,-78.8498,800,song,,,field recording,//xeno-canto.org/296852,https://xeno-canto.org/296852/download,XC296852-ChinchipeSpinetail_Peru_061915_song.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC296852-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC296852-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC296852-large.png', 'full': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC296852-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC296852-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC296852-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC296852-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,15:30,2015-06-18,2015-12-24,[],,yes,yes,yes,,,no,,,44100
296851,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Ross Gallardy,Peru,"San Ignacio, Cajamarca",-5.4981,-78.8498,800,call,,,field recording,//xeno-canto.org/296851,https://xeno-canto.org/296851/download,XC296851-ChinchipeSpinetail_Peru_061915_call.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC296851-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC296851-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC296851-large.png', 'full': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC296851-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC296851-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC296851-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC296851-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,15:30,2015-06-18,2015-12-24,[],,yes,yes,yes,,,no,,,44100
27768,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,David Edwards,Peru,Chirinos,-5.24667,-78.81528,500?</b>,call,,,field recording,//xeno-canto.org/27768,https://xeno-canto.org/27768/download,ChinchipeSpinetailEdwards.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/XC27768-small.png', 'med': '//xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/XC27768-med.png', 'large': '//xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/XC27768-large.png', 'full': '//xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/XC27768-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/AFEHYCAHZR/wave/XC27768-small.png', 'med': '//xeno-canto.org/sounds/uploaded/AFEHYCAHZR/wave/XC27768-med.png', 'large': '//xeno-canto.org/sounds/uploaded/AFEHYCAHZR/wave/XC27768-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,A,0:50,?:?,2006-08-00,2009-01-07,[],,unknown,unknown,unknown,,,no,,,44100
763551,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,GABRIEL LEITE,Peru,"Bellavista (near  San Agustin), Jaén, Cajamarca",-5.6015,-78.8021,750,song,"female, male",adult,field recording,//xeno-canto.org/763551,https://xeno-canto.org/763551/download,XC763551-Synallaxis-chichipensis_Jaen_MixPre-1816.wav,"{'small': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC763551-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC763551-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC763551-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC763551-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC763551-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC763551-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC763551-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:11,06:30,2022-11-19,2022-11-25,[],,yes,yes,yes,,,no,Mix Pre 3,Sennheiser 67,48000
692726,Arremon,dorbignii,,birds,Moss-backed Sparrow,Jacob Wijpkema,Bolivia,"Franz Tamayo, La Paz Department",-14.4185,-68.5468,750,song,,,field recording,//xeno-canto.org/692726,https://xeno-canto.org/692726/download,XC692726-211203_4690.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC692726-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC692726-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC692726-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC692726-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/wave/XC692726-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/wave/XC692726-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/wave/XC692726-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,1:13,08:52,2021-12-03,2021-12-24,"['Taraba major', 'Formicarius analis', 'Nystalus obamai']","In Bolivia this is now called ""Moss-backed Sparrow"" Arremon dorbignii. However it seems that the song of this bird is more like the Saffron-billed Sparrow, Arremon flavirostris polionotus.",yes,yes,yes,,,no,,,44100
494097,Rhynchospiza,dabbenei,,birds,Yungas Sparrow,Rosendo Manuel Fraga,Argentina,"Quebrada del Gallinato, Salta",-24.7821,-65.4232,1400 m,song,"female, male",,field recording,//xeno-canto.org/494097,https://xeno-canto.org/494097/download,XC494097-RhynchospizadabbTape11Salta.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC494097-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC494097-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC494097-large.png', 'full': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC494097-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC494097-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC494097-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC494097-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:24,16:00,1999-11-20,2019-08-24,['Zonotrichia capensis'],"Songs or calls of a small sparrow group, found in dry grassland and small shrubs.",yes,yes,no,,,no,,,22050
351193,Arremon,dorbignii,,birds,Moss-backed Sparrow,Guy Kirwan,Bolivia,"Refugio Los Volcanes, Santa Cruz",-18.107,-63.599,1100,call,,,field recording,//xeno-canto.org/351193,https://xeno-canto.org/351193/download,"XC351193-160907_10_Saffron-billed Sparrow_Refugio Los Volcanes, Santa Cruz_6 Sep 2016 - trimmed.mp3","{'small': '//xeno-canto.org/sounds/uploaded/BZVYBRUAAE/ffts/XC351193-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BZVYBRUAAE/ffts/XC351193-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BZVYBRUAAE/ffts/XC351193-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BZVYBRUAAE/ffts/XC351193-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/BZVYBRUAAE/wave/XC351193-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BZVYBRUAAE/wave/XC351193-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BZVYBRUAAE/wave/XC351193-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:48,11:00,2016-09-06,2017-01-18,[],,yes,yes,yes,,,no,,,44100
288810,Rhynchospiza,dabbenei,,birds,Yungas Sparrow,Niels Krabbe,Argentina,Salta: Vaqueros at Río Los Yacones,-24.68,-65.4035,1300,call,,,field recording,//xeno-canto.org/288810,https://xeno-canto.org/288810/download,XC288810-Aimophila_strigiceps25Oct2015_0707hrs.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC288810-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC288810-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC288810-large.png', 'full': '//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC288810-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/wave/XC288810-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/wave/XC288810-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/wave/XC288810-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:46,07:07,2015-10-25,2015-11-06,"['Leptotila verreauxi', 'Zonotrichia capensis']",Calling from low shrub in clearing.,yes,yes,no,,,no,,,44100
